Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,13/01/2023,Vente,"240000,00",74,,RUE,4145,GASTON CREPIN,93000,BOBIGNY,93,8,,AS,5,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,298
,,,,,,,000001,13/01/2023,Vente,"240000,00",74,,RUE,4145,GASTON CREPIN,93000,BOBIGNY,93,8,,AS,5,,,,,,,,,,,,0,1,Maison,,114,3,S,,298
,,,,,,,000001,13/01/2023,Vente,"240000,00",76,,RUE,0085,AUGUSTE DELAUNE,93000,BOBIGNY,93,8,,AS,231,,,,,,,,,,,,0,,,,,,AB,,47
,,,,,,,000001,18/01/2023,Vente,"215000,00",22,,RUE,3540,DES FLEURS,93000,BOBIGNY,93,8,,AQ,20,,9,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,18/01/2023,Vente,"215000,00",20,,RUE,3540,DES FLEURS,93000,BOBIGNY,93,8,,AQ,20,,11,,7,"52,61",,,,,,,2,2,Appartement,,63,3,,,
,,,,,,,000001,17/01/2023,Vente,"230000,00",2,,AV,4427,HENRI BARBUSSE,93000,BOBIGNY,93,8,,K,76,,207,"48,35",213,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,17/01/2023,Vente,"230000,00",2,,AV,4427,HENRI BARBUSSE,93000,BOBIGNY,93,8,,K,76,,207,"48,35",213,,,,,,,,2,2,Appartement,,52,2,,,
,,,,,,,000001,16/01/2023,Vente,"190000,00",2,,RUE,4140,DE LA GARE,93000,BOBIGNY,93,8,,S,170,,206,,221,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,16/01/2023,Vente,"190000,00",2,,RUE,4140,DE LA GARE,93000,BOBIGNY,93,8,,S,170,,206,,221,,,,,,,,2,2,Appartement,,65,4,,,
,,,,,,,000001,11/01/2023,Vente en l'état futur d'achèvement,"164000,00",11,,RUE,9615,VALLIERE,93000,BOBIGNY,93,8,,AP,103,,72,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,20/01/2023,Vente,"150000,00",33,,RUE,6820,D ODESSA,93000,BOBIGNY,93,8,,AU,52,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,181
,,,,,,,000001,20/01/2023,Vente,"150000,00",33,,RUE,6820,D ODESSA,93000,BOBIGNY,93,8,,AU,52,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,181
,,,,,,,000001,20/01/2023,Vente,"150000,00",33,,RUE,6820,D ODESSA,93000,BOBIGNY,93,8,,AU,52,,,,,,,,,,,,0,1,Maison,,31,3,S,,181
,,,,,,,000001,26/01/2023,Vente,"480000,00",41,,RUE,3190,EUGENE VARLIN,93000,BOBIGNY,93,8,,BD,257,,,,,,,,,,,,0,1,Maison,,81,3,S,,637
,,,,,,,000001,06/01/2023,Vente,"210000,00",28,,RUE,3160,ETIENNE DOLET,93000,BOBIGNY,93,8,,BC,43,,,,,,,,,,,,0,1,Maison,,58,5,S,,187
,,,,,,,000001,06/01/2023,Vente,"210000,00",28,,RUE,3160,ETIENNE DOLET,93000,BOBIGNY,93,8,,BC,43,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,187
,,,,,,,000001,06/01/2023,Vente,"210000,00",28,,RUE,3160,ETIENNE DOLET,93000,BOBIGNY,93,8,,BC,43,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,187
