Date mutation,Nature mutation,Valeur fonciere,Code postal,Code departement,Type de voie,Voie,Surface reelle bati,Nombre pieces principales,Type local,Surface terrain,z_score
13/01/2023,Vente,,93000,93,RUE,GASTON CREPIN,0.0,0.0,Dépendance,298.0,
13/01/2023,Vente,,93000,93,RUE,GASTON CREPIN,114.0,3.0,Maison,298.0,
20/01/2023,Vente,,93000,93,RUE,D ODESSA,0.0,0.0,Dépendance,181.0,
20/01/2023,Vente,,93000,93,RUE,D ODESSA,0.0,0.0,Dépendance,181.0,
20/01/2023,Vente,,93000,93,RUE,D ODESSA,31.0,3.0,Maison,181.0,
26/01/2023,Vente,,93000,93,RUE,EUGENE VARLIN,81.0,3.0,Maison,637.0,
06/01/2023,Vente,,93000,93,RUE,ETIENNE DOLET,58.0,5.0,Maison,187.0,
06/01/2023,Vente,,93000,93,RUE,ETIENNE DOLET,0.0,0.0,Dépendance,187.0,
06/01/2023,Vente,,93000,93,RUE,ETIENNE DOLET,0.0,0.0,Dépendance,187.0,
18/01/2023,Vente,,93000,93,RUE,DES FLEURS,80.0,4.0,Maison,226.0,
03/02/2023,Vente,,93000,93,RUE,ALBERT LAURENSON,99.0,6.0,Maison,392.0,
03/02/2023,Vente,,93000,93,RUE,ALBERT LAURENSON,0.0,0.0,Dépendance,392.0,
20/01/2023,Vente,,93000,93,RUE,DE LA CERISAIE,99.0,5.0,Maison,132.0,
25/01/2023,Vente,,93000,93,RUE,DE L UNION,71.0,4.0,Maison,380.0,
23/01/2023,Vente,,93000,93,RUE,DE LENINGRAD,84.0,5.0,Maison,297.0,
23/01/2023,Vente,,93000,93,RUE,DE LENINGRAD,0.0,0.0,Dépendance,297.0,
09/01/2023,Vente,,93000,93,CHE,DE GROSLAY,120.0,4.0,Maison,312.0,
09/01/2023,Vente,,93000,93,CHE,DE GROSLAY,0.0,0.0,Dépendance,312.0,
16/02/2023,Vente,,93000,93,RUE,PASTEUR,0.0,0.0,Dépendance,269.0,
16/02/2023,Vente,,93000,93,RUE,PASTEUR,72.0,3.0,Maison,269.0,
01/02/2023,Vente,,93000,93,AV,DE BELLEVILLE,110.0,3.0,Maison,496.0,
08/02/2023,Vente,,93000,93,ALL,DES CERISIERS,0.0,0.0,Dépendance,259.0,
08/02/2023,Vente,,93000,93,ALL,DES CERISIERS,95.0,5.0,Maison,259.0,
22/02/2023,Vente,,93000,93,RUE,RABELAIS,68.0,4.0,Maison,344.0,
03/03/2023,Vente,,93000,93,AV,JEAN JAURES,273.0,0.0,Local industriel. commercial ou assimilé,606.0,
03/03/2023,Vente,,93000,93,AV,JEAN JAURES,0.0,0.0,Dépendance,606.0,
03/03/2023,Vente,,93000,93,AV,JEAN JAURES,273.0,0.0,Local industriel. commercial ou assimilé,422.0,
03/03/2023,Vente,,93000,93,AV,JEAN JAURES,0.0,0.0,Dépendance,422.0,
01/03/2023,Vente,,93000,93,RUE,BOIS D AMOUR,80.0,4.0,Maison,272.0,
01/03/2023,Vente,,93000,93,RUE,BOIS D AMOUR,0.0,0.0,Dépendance,272.0,
14/03/2023,Vente,,93000,93,RUE,BOIS D AMOUR,0.0,0.0,Dépendance,765.0,
14/03/2023,Vente,,93000,93,RUE,BOIS D AMOUR,153.0,6.0,Maison,765.0,
14/03/2023,Vente,,93000,93,RUE,BOIS D AMOUR,0.0,0.0,Dépendance,765.0,
22/03/2023,Vente,,93000,93,RUE,DE MOSCOU,96.0,5.0,Maison,319.0,
22/03/2023,Vente,,93000,93,RUE,DE VARSOVIE,116.0,5.0,Maison,399.0,
22/03/2023,Vente,,93000,93,RUE,DE VARSOVIE,0.0,0.0,Dépendance,399.0,
