Date mutation,Nature mutation,Valeur fonciere,Code postal,Code departement,Voie,Surface reelle bati,Nombre pieces principales,Type local,Surface terrain,voie_ALL,voie_AV,voie_CHE,voie_RUE
13/01/2023,Vente,240000.00,93000,93,GASTON CREPIN,0.0,0.0,Dépendance,298.0,False,False,False,True
13/01/2023,Vente,240000.00,93000,93,GASTON CREPIN,114.0,3.0,Maison,298.0,False,False,False,True
20/01/2023,Vente,150000.00,93000,93,D ODESSA,0.0,0.0,Dépendance,181.0,False,False,False,True
20/01/2023,Vente,150000.00,93000,93,D ODESSA,0.0,0.0,Dépendance,181.0,False,False,False,True
20/01/2023,Vente,150000.00,93000,93,D ODESSA,31.0,3.0,Maison,181.0,False,False,False,True
26/01/2023,Vente,480000.00,93000,93,EUGENE VARLIN,81.0,3.0,Maison,637.0,False,False,False,True
06/01/2023,Vente,210000.00,93000,93,ETIENNE DOLET,58.0,5.0,Maison,187.0,False,False,False,True
06/01/2023,Vente,210000.00,93000,93,ETIENNE DOLET,0.0,0.0,Dépendance,187.0,False,False,False,True
06/01/2023,Vente,210000.00,93000,93,ETIENNE DOLET,0.0,0.0,Dépendance,187.0,False,False,False,True
18/01/2023,Vente,350000.00,93000,93,DES FLEURS,80.0,4.0,Maison,226.0,False,False,False,True
03/02/2023,Vente,345000.00,93000,93,ALBERT LAURENSON,99.0,6.0,Maison,392.0,False,False,False,True
03/02/2023,Vente,345000.00,93000,93,ALBERT LAURENSON,0.0,0.0,Dépendance,392.0,False,False,False,True
20/01/2023,Vente,290000.00,93000,93,DE LA CERISAIE,99.0,5.0,Maison,132.0,False,False,False,True
25/01/2023,Vente,405000.00,93000,93,DE L UNION,71.0,4.0,Maison,380.0,False,False,False,True
23/01/2023,Vente,370000.00,93000,93,DE LENINGRAD,84.0,5.0,Maison,297.0,False,False,False,True
23/01/2023,Vente,370000.00,93000,93,DE LENINGRAD,0.0,0.0,Dépendance,297.0,False,False,False,True
09/01/2023,Vente,327000.00,93000,93,DE GROSLAY,120.0,4.0,Maison,312.0,False,False,True,False
09/01/2023,Vente,327000.00,93000,93,DE GROSLAY,0.0,0.0,Dépendance,312.0,False,False,True,False
16/02/2023,Vente,215000.00,93000,93,PASTEUR,0.0,0.0,Dépendance,269.0,False,False,False,True
16/02/2023,Vente,215000.00,93000,93,PASTEUR,72.0,3.0,Maison,269.0,False,False,False,True
01/02/2023,Vente,510000.00,93000,93,DE BELLEVILLE,110.0,3.0,Maison,496.0,False,True,False,False
08/02/2023,Vente,245000.00,93000,93,DES CERISIERS,0.0,0.0,Dépendance,259.0,True,False,False,False
08/02/2023,Vente,245000.00,93000,93,DES CERISIERS,95.0,5.0,Maison,259.0,True,False,False,False
22/02/2023,Vente,210000.00,93000,93,RABELAIS,68.0,4.0,Maison,344.0,False,False,False,True
03/03/2023,Vente,800000.00,93000,93,JEAN JAURES,273.0,0.0,Local industriel. commercial ou assimilé,606.0,False,True,False,False
03/03/2023,Vente,800000.00,93000,93,JEAN JAURES,0.0,0.0,Dépendance,606.0,False,True,False,False
03/03/2023,Vente,800000.00,93000,93,JEAN JAURES,273.0,0.0,Local industriel. commercial ou assimilé,422.0,False,True,False,False
03/03/2023,Vente,800000.00,93000,93,JEAN JAURES,0.0,0.0,Dépendance,422.0,False,True,False,False
01/03/2023,Vente,278200.00,93000,93,BOIS D AMOUR,80.0,4.0,Maison,272.0,False,False,False,True
01/03/2023,Vente,278200.00,93000,93,BOIS D AMOUR,0.0,0.0,Dépendance,272.0,False,False,False,True
14/03/2023,Vente,315000.00,93000,93,BOIS D AMOUR,0.0,0.0,Dépendance,765.0,False,False,False,True
14/03/2023,Vente,315000.00,93000,93,BOIS D AMOUR,153.0,6.0,Maison,765.0,False,False,False,True
14/03/2023,Vente,315000.00,93000,93,BOIS D AMOUR,0.0,0.0,Dépendance,765.0,False,False,False,True
22/03/2023,Vente,560000.00,93000,93,DE MOSCOU,96.0,5.0,Maison,319.0,False,False,False,True
22/03/2023,Vente,800000.00,93000,93,DE VARSOVIE,116.0,5.0,Maison,399.0,False,False,False,True
22/03/2023,Vente,800000.00,93000,93,DE VARSOVIE,0.0,0.0,Dépendance,399.0,False,False,False,True
22/03/2023,Vente,750000.00,93000,93,DE VARSOVIE,89.0,3.0,Maison,402.0,False,False,False,True
22/03/2023,Vente,565000.00,93000,93,DE MOSCOU,64.0,3.0,Maison,318.0,False,False,False,True
