Valeur fonciere,Surface reelle bati,Surface terrain,Nombre pieces principales,Cluster
240000.0,0.0,298.0,0.0,3
240000.0,114.0,298.0,3.0,3
150000.0,0.0,181.0,0.0,3
150000.0,0.0,181.0,0.0,3
150000.0,31.0,181.0,3.0,3
480000.0,81.0,637.0,3.0,3
210000.0,58.0,187.0,5.0,3
210000.0,0.0,187.0,0.0,3
210000.0,0.0,187.0,0.0,3
350000.0,80.0,226.0,4.0,3
345000.0,99.0,392.0,6.0,3
345000.0,0.0,392.0,0.0,3
290000.0,99.0,132.0,5.0,3
405000.0,71.0,380.0,4.0,3
370000.0,84.0,297.0,5.0,3
370000.0,0.0,297.0,0.0,3
327000.0,120.0,312.0,4.0,3
327000.0,0.0,312.0,0.0,3
215000.0,0.0,269.0,0.0,3
215000.0,72.0,269.0,3.0,3
510000.0,110.0,496.0,3.0,3
245000.0,0.0,259.0,0.0,3
245000.0,95.0,259.0,5.0,3
210000.0,68.0,344.0,4.0,3
800000.0,273.0,606.0,0.0,3
800000.0,0.0,606.0,0.0,3
800000.0,273.0,422.0,0.0,3
800000.0,0.0,422.0,0.0,3
278200.0,80.0,272.0,4.0,3
278200.0,0.0,272.0,0.0,3
315000.0,0.0,765.0,0.0,3
315000.0,153.0,765.0,6.0,3
315000.0,0.0,765.0,0.0,3
560000.0,96.0,319.0,5.0,3
800000.0,116.0,399.0,5.0,3
800000.0,0.0,399.0,0.0,3
750000.0,89.0,402.0,3.0,3
565000.0,64.0,318.0,3.0,3
300000.0,0.0,190.0,0.0,3
300000.0,73.0,190.0,5.0,3
300000.0,33.0,102.0,2.0,3
300000.0,0.0,102.0,0.0,3
300000.0,0.0,102.0,0.0,3
300000.0,0.0,102.0,0.0,3
340000.0,102.0,185.0,5.0,3
275000.0,77.0,295.0,4.0,3
275000.0,0.0,295.0,0.0,3
250000.0,83.0,584.0,4.0,3
250000.0,83.0,287.0,4.0,3
315000.0,74.0,310.0,4.0,3
610100.0,75.0,230.0,3.0,3
325000.0,0.0,413.0,0.0,3
325000.0,98.0,413.0,4.0,3
293000.0,63.0,177.0,3.0,3
300000.0,67.0,186.0,3.0,3
450000.0,158.0,328.0,6.0,3
250000.0,101.0,291.0,5.0,3
250000.0,0.0,291.0,0.0,3
275000.0,0.0,300.0,0.0,3
275000.0,89.0,300.0,4.0,3
275000.0,0.0,300.0,0.0,3
270000.0,42.0,340.0,3.0,3
230000.0,95.0,114.0,5.0,3
360000.0,95.0,114.0,5.0,3
345000.0,102.0,291.0,4.0,3
345000.0,0.0,291.0,0.0,3
2600000.0,98.0,3743.0,4.0,3
2600000.0,63.0,3743.0,3.0,3
240000.0,77.0,310.0,3.0,3
240000.0,0.0,310.0,0.0,3
200000.0,60.0,236.0,2.0,3
400000.0,95.0,538.0,5.0,3
400000.0,0.0,538.0,0.0,3
2595450.0,9592.0,630.0,0.0,3
209450.0,110.0,303.0,4.0,3
412000.0,66.0,310.0,4.0,3
1080000.0,4664.0,1493.0,0.0,3
1080000.0,77.0,1493.0,4.0,3
330000.0,0.0,331.0,0.0,3
330000.0,100.0,331.0,5.0,3
430000.0,30.0,322.0,1.0,3
430000.0,30.0,322.0,1.0,3
430000.0,40.0,322.0,1.0,3
430000.0,43.0,322.0,2.0,3
470000.0,171.0,659.0,9.0,3
335000.0,100.0,210.0,4.0,3
2000000.0,900.0,1338.0,0.0,3
106828.0,60.0,308.0,3.0,3
106828.0,0.0,308.0,0.0,3
300000.0,57.0,445.0,3.0,3
430000.0,59.0,275.0,3.0,3
361078.5,100.0,228.0,3.0,3
265000.0,0.0,309.0,0.0,3
265000.0,40.0,309.0,2.0,3
259000.0,58.0,345.0,3.0,3
259000.0,0.0,345.0,0.0,3
375000.0,0.0,477.0,0.0,3
375000.0,131.0,477.0,5.0,3
292500.0,70.0,341.0,4.0,3
240000.0,0.0,295.0,0.0,3
240000.0,62.0,295.0,4.0,3
700000.0,60.0,380.0,3.0,3
700000.0,80.0,380.0,2.0,3
700000.0,200.0,380.0,0.0,3
3223000.0,65.0,2324.0,0.0,3
230000.0,0.0,272.0,0.0,3
230000.0,62.0,272.0,4.0,3
230000.0,0.0,272.0,0.0,3
415000.0,45.0,369.0,2.0,3
415000.0,0.0,369.0,0.0,3
415000.0,221.0,369.0,0.0,3
348000.0,67.0,249.0,4.0,3
263000.0,76.0,310.0,3.0,3
198535.0,46.0,236.0,2.0,3
320000.0,76.0,358.0,5.0,3
309000.0,57.0,257.0,3.0,3
925050.0,37.0,466.0,2.0,3
925050.0,40.0,466.0,0.0,3
925050.0,40.0,466.0,2.0,3
925050.0,40.0,466.0,2.0,3
370000.0,0.0,380.0,0.0,3
370000.0,0.0,380.0,0.0,3
370000.0,77.0,380.0,4.0,3
270000.0,46.0,307.0,3.0,3
270000.0,0.0,307.0,0.0,3
435000.0,99.0,323.0,5.0,3
360000.0,91.0,255.0,4.0,3
210000.0,67.0,244.0,3.0,3
282000.0,72.0,285.0,4.0,3
325000.0,0.0,282.0,0.0,3
325000.0,125.0,282.0,5.0,3
320000.0,0.0,382.0,0.0,3
320000.0,80.0,382.0,3.0,3
285000.0,28.0,330.0,2.0,3
285000.0,0.0,330.0,0.0,3
285000.0,24.0,330.0,1.0,3
285000.0,24.0,330.0,1.0,3
250000.0,0.0,361.0,0.0,3
250000.0,76.0,361.0,4.0,3
300820.0,114.0,122.0,4.0,3
240000.0,48.0,160.0,1.0,3
240000.0,0.0,160.0,0.0,3
350000.0,80.0,261.0,0.0,3
350000.0,190.0,261.0,7.0,3
295000.0,103.0,288.0,4.0,3
315000.0,80.0,300.0,4.0,3
305000.0,89.0,300.0,4.0,3
305000.0,0.0,300.0,0.0,3
305000.0,0.0,300.0,0.0,3
240000.0,0.0,293.0,0.0,3
240000.0,44.0,293.0,3.0,3
425000.0,60.0,890.0,4.0,3
275000.0,52.0,103.0,2.0,3
275000.0,0.0,103.0,0.0,3
602000.0,68.0,356.0,4.0,3
680000.0,62.0,307.0,4.0,3
500000.0,68.0,340.0,4.0,3
840000.0,68.0,398.0,4.0,3
840000.0,0.0,398.0,0.0,3
990000.0,0.0,385.0,0.0,3
990000.0,0.0,385.0,0.0,3
990000.0,68.0,385.0,6.0,3
990000.0,40.0,385.0,2.0,3
